160,27
108,6
132,29
109,122
121,74
108,103
124,33
21,3
40,72
96,72
96,104
124,8
124,80
122,3
80,104
120,17
84,6
13,7
134,117
125,57
69,114
105,103
77,124
76,72
49,80
60,100
88,24
5,74
153,121
81,55
120,38
77,114
88,31
88,13
132,15
58,57
160,81
116,32
147,84
36,51
109,21
13,73
129,85
48,109
112,43
142,33
153,7
5,91
124,74
178,117
152,116
72,120
60,89
105,101
110,15
121,120
133,90
145,93
116,72
96,113
71,45
36,74
52,39
24,91
108,53
60,75
52,4
56,40
84,81
60,43
132,93
108,120
51,45
82,76
62,52
109,72
57,72
69,32
129,56
119,40
114,52
96,4
52,29
81,38
52,126
57,51
12,112
53,8
47,120
29,111
164,7
117,29
33,101
120,16
63,57
128,73
112,110
76,39
40,18
122,96
160,51
88,128
141,115
33,12
61,8
29,14
84,17
69,20
128,101
93,52
61,85
84,121
117,42
12,16
165,12
160,1
24,43
8,76
44,16
81,84
108,36
92,116
135,24
128,20
57,81
141,6
63,24
60,37
20,38
120,78
132,112
0,17
45,39
88,120
153,105
97,129
152,103
40,105
80,2
99,48
179,9
141,2
160,19
92,40
153,110
126,76
141,93
77,26
137,9
81,41
36,88
124,8
98,123
84,27
148,121
65,88
136,37
48,111
52,19
133,93
125,48
123,129
88,93
129,90
53,57
141,36
0,108
64,100
165,102
70,101
120,17
99,102
84,120
89,25
144,87
64,28
16,123
46,48
61,45
141,30
112,48
106,57
28,17
160,21
146,16
24,102
57,85
132,109
46,124
148,113
41,41
72,15
128,45
13,86
124,73
31,4
124,19
43,40
85,99
149,100
135,112
63,96
107,105
141,117
108,81
112,56
73,49
20,76
121,12
37,121
109,1
12,32
121,78
63,16
100,91
122,129
157,33
54,124
105,84
17,31
104,21
83,105
150,4
69,81
134,16
128,116
52,114
168,111
136,108
53,88
93,21
81,4
104,19
92,84
69,123
130,17
96,20
108,15
108,53
62,72
30,52
64,51
120,38
72,88
8,17
88,120
106,9
56,49
121,38
96,117
57,4
145,105
49,126
49,109
125,30
67,4
33,112
16,93
124,16
48,36
173,49
168,51
148,50
37,13
122,72
124,127
37,127
47,105
81,40
49,98
8,127
83,4
22,52
104,76
72,54
144,12
81,117
178,57
36,102
149,80
92,39
152,104
56,19
41,44
49,14
48,52
140,7
120,15
60,74
142,36
137,48
27,89
105,21
65,56
25,120
57,126
80,26
44,117
69,88
37,33
133,88
44,52
48,24
76,84
64,84
64,77
104,54
64,42
140,48
113,43
144,73
111,90
84,81
96,76
180,80
48,12
141,14
48,9
82,0
117,120
27,36
61,89
132,57
83,72
144,127
159,9
112,33
168,8
76,8
108,37
96,33
96,129
124,128
40,104
121,108
124,112
95,52
5,104
151,28
169,12
15,89
33,48
48,116
109,17
129,51
131,88
144,97
46,84
31,112
119,33
72,80
145,120
29,76
35,52
21,101
52,81
133,103
88,54
81,117
101,3
101,13
84,102
96,40
56,42
53,56
145,76
130,89
38,52
48,45
61,76
72,86
51,53
129,57
32,108
56,90
131,36
25,73
69,24
134,33
5,4
132,78
61,50
140,40
129,126
122,48
Writing this to a file.
